,Camera name,Minute,Hour,Day,Month,Year
0,A,1,8,1,1,2020
1,A,2,9,2,2,2020
2,A,3,7,3,3,2020
3,A,4,8,4,4,2020
4,A,2,9,5,5,2020
5,A,3,8,5,6,2020
6,A,4,7,4,5,2020
7,A,6,8,3,4,2020
8,A,4,9,5,5,2020
9,A,4,8,6,6,2020
10,A,3,7,7,7,2020
11,A,4,7,6,8,2020
12,A,6,7,5,9,2020
13,A,7,7,4,7,2020
14,A,8,8,3,6,2020
15,A,9,9,4,5,2020
16,A,14,6,5,6,2020
17,A,53,6,6,5,2020
18,A,23,5,7,4,2020
19,A,23,6,5,10,2020
20,A,34,5,4,11,2020
21,A,1,6,3,12,2020
22,A,2,7,3,12,2020
23,A,3,8,4,12,2020
24,A,4,9,5,3,2020
25,A,7,8,4,4,2020
26,A,3,7,3,5,2020
27,A,2,8,2,4,2020
28,A,3,9,1,3,2020
29,A,1,8,2,5,2020
30,A,3,7,1,6,2020
31,A,53,8,2,7,2020
32,A,23,9,3,8,2020
33,A,23,8,4,9,2020
34,A,4,7,5,9,2020
35,A,5,6,5,12,2020
36,A,4,6,4,11,2020
37,A,3,7,3,11,2020
38,A,3,8,3,10,2020
39,A,4,8,2,4,2020
40,A,2,8,3,8,2020
41,A,4,7,6,9,2020
42,A,5,7,7,8,2020
43,A,6,8,7,7,2020
44,A,8,9,7,6,2020
45,A,7,8,6,5,2020
46,A,7,7,5,4,2020
47,A,8,8,4,5,2020
48,A,7,9,3,5,2020
