Camera_Name,Minute,Hour,Day,Month,Year
A,1,8,1,1,2020
A,2,9,2,2,2020
A,3,7,3,3,2020
A,4,8,4,4,2020
A,2,9,5,5,2020
A,3,8,5,6,2020
A,4,7,4,5,2020
A,6,8,3,4,2020
A,4,9,5,5,2020
A,4,8,6,6,2020
A,3,7,7,7,2020
A,4,7,6,8,2020
A,6,7,5,9,2020
A,7,7,4,7,2020
A,8,8,3,6,2020
A,9,9,4,5,2020
A,14,6,5,6,2020
A,53,6,6,5,2020
A,23,5,7,4,2020
A,23,6,5,10,2020
A,34,5,4,11,2020
A,1,6,3,12,2020
A,2,7,3,12,2020
A,3,8,4,12,2020
A,4,9,5,3,2020
A,7,8,4,4,2020
A,3,7,3,5,2020
A,2,8,2,4,2020
A,3,9,1,3,2020
A,1,8,2,5,2020
A,3,7,1,6,2020
A,53,8,2,7,2020
A,23,9,3,8,2020
A,23,8,4,9,2020
A,4,7,5,9,2020
A,5,6,5,12,2020
A,4,6,4,11,2020
A,3,7,3,11,2020
A,3,8,3,10,2020
A,4,8,2,4,2020
A,2,8,3,8,2020
A,4,7,6,9,2020
A,5,7,7,8,2020
A,6,8,7,7,2020
A,8,9,7,6,2020
A,7,8,6,5,2020
A,7,7,5,4,2020
A,8,8,4,5,2020
A,7,9,3,5,2020
B,3,7,4,7,2021
B,5,8,4,1,2021
B,6,7,5,2,2021
B,5,8,4,3,2021
B,5,9,4,2,2021
B,4,8,1,3,2021
B,4,7,2,4,2021
B,5,8,3,5,2021
B,6,9,4,4,2021
B,5,8,5,3,2021
B,4,7,6,2,2021
B,4,8,7,4,2021
B,3,9,6,4,2021
B,4,8,5,6,2021
B,3,7,4,7,2021
B,4,7,3,8,2021
B,5,6,3,9,2021
B,6,6,2,7,2021
B,7,6,2,6,2021
B,8,6,3,5,2021
B,9,6,4,4,2021
B,8,6,5,5,2021
B,7,6,6,4,2021
B,6,5,7,3,2021
B,5,5,6,1,2021
B,4,5,7,2,2021
B,3,5,6,3,2021
B,4,6,5,1,2021
B,4,7,6,2,2021
B,5,8,5,2,2021
B,4,9,4,1,2021
B,4,8,3,2,2021
B,5,8,4,3,2021
B,5,7,3,2,2021
B,4,7,4,1,2021
B,3,7,3,2,2021
B,3,8,3,3,2021
B,33,9,2,2,2021
B,3,8,3,1,2021
B,33,8,3,2,2021
B,3,7,3,3,2021
B,2,7,3,2,2021
B,3,8,2,1,2021
B,3,9,2,2,2021
B,2,8,2,3,2021
B,3,7,2,2,2021
B,4,7,3,1,2021
B,5,8,4,2,2021
B,4,8,5,3,2021
B,3,7,6,5,2021
